date,iso_code,S,V,I,daily_R0,avg_R0
2023-08-23,VNM,98894325,539337,0,0.3186696388367515,0.4017195379625951
2023-08-24,VNM,98898280,537686,0,0.3186696388367515,0.4017195379625951
2023-08-25,VNM,98902196,536075,0,0.3186696388367515,0.4017195379625951
2023-08-26,VNM,98906075,534501,0,0.3186696388367515,0.4017195379625951
2023-08-27,VNM,98909917,532963,0,0.3186696388367515,0.4017195379625951
2023-08-28,VNM,98913723,531462,0,0.3186696388367515,0.4017195379625951
2023-08-29,VNM,98917493,529995,0,0.3186696388367515,0.4017195379625951
2023-08-30,VNM,98921230,528563,0,0.3186696388367515,0.4017195379625951
2023-08-31,VNM,98924933,527164,0,0.3186696388367515,0.4017195379625951
2023-09-01,VNM,98928604,525798,0,0.3186696388367515,0.4017195379625951
2023-09-02,VNM,98932242,524463,0,0.3186696388367515,0.4017195379625951
2023-09-03,VNM,98935849,523160,0,0.3186696388367515,0.4017195379625951
2023-09-04,VNM,98939426,521887,0,0.3186696388367515,0.4017195379625951
2023-09-05,VNM,98942973,520644,0,0.3186696388367515,0.4017195379625951
2023-09-06,VNM,98946491,519430,0,0.3186696388367515,0.4017195379625951
2023-09-07,VNM,98949981,518245,0,0.3186696388367515,0.4017195379625951
2023-09-08,VNM,98953443,517087,0,0.3186696388367515,0.4017195379625951
2023-09-09,VNM,98956877,515956,0,0.3186696388367515,0.4017195379625951
2023-09-10,VNM,98960286,514851,0,0.3186696388367515,0.4017195379625951
2023-09-11,VNM,98963668,513773,0,0.3186696388367515,0.4017195379625951
2023-09-12,VNM,98967025,512720,0,0.3186696388367515,0.4017195379625951
2023-09-13,VNM,98970357,511691,0,0.3186696388367515,0.4017195379625951
2023-09-14,VNM,98973666,510686,0,0.3186696388367515,0.4017195379625951
2023-09-15,VNM,98976950,509705,0,0.3186696388367515,0.4017195379625951
2023-09-16,VNM,98980212,508747,0,0.3186696388367515,0.4017195379625951
2023-09-17,VNM,98983451,507811,0,0.3186696388367515,0.4017195379625951
2023-09-18,VNM,98986669,506897,0,0.3186696388367515,0.4017195379625951
2023-09-19,VNM,98989864,506005,0,0.3186696388367515,0.4017195379625951
2023-09-20,VNM,98993039,505134,0,0.3186696388367515,0.4017195379625951
2023-09-21,VNM,98996194,504283,0,0.3186696388367515,0.4017195379625951
2023-09-22,VNM,98999328,503451,0,0.3186696388367515,0.4017195379625951
2023-09-23,VNM,99002443,502640,0,0.3186696388367515,0.4017195379625951
2023-09-24,VNM,99005539,501847,0,0.3186696388367515,0.4017195379625951
2023-09-25,VNM,99008616,501073,0,0.3186696388367515,0.4017195379625951
2023-09-26,VNM,99011674,500318,0,0.3186696388367515,0.4017195379625951
2023-09-27,VNM,99014716,499580,0,0.3186696388367515,0.4017195379625951
2023-09-28,VNM,99017739,498859,0,0.3186696388367515,0.4017195379625951
2023-09-29,VNM,99020746,498155,0,0.3186696388367515,0.4017195379625951
2023-09-30,VNM,99023736,497468,0,0.3186696388367515,0.4017195379625951
2023-10-01,VNM,99026710,496797,0,0.3186696388367515,0.4017195379625951
2023-10-02,VNM,99029668,496142,0,0.3186696388367515,0.4017195379625951
2023-10-03,VNM,99032611,495502,0,0.3186696388367515,0.4017195379625951
2023-10-04,VNM,99035538,494878,0,0.3186696388367515,0.4017195379625951
2023-10-05,VNM,99038451,494268,0,0.3186696388367515,0.4017195379625951
2023-10-06,VNM,99041349,493672,0,0.3186696388367515,0.4017195379625951
2023-10-07,VNM,99044233,493090,0,0.3186696388367515,0.4017195379625951
2023-10-08,VNM,99047104,492523,0,0.3186696388367515,0.4017195379625951
2023-10-09,VNM,99049961,491968,0,0.3186696388367515,0.4017195379625951
2023-10-10,VNM,99052805,491427,0,0.3186696388367515,0.4017195379625951
2023-10-11,VNM,99055636,490898,0,0.3186696388367515,0.4017195379625951
2023-10-12,VNM,99058454,490382,0,0.3186696388367515,0.4017195379625951
2023-10-13,VNM,99061261,489878,0,0.3186696388367515,0.4017195379625951
