year,criteria,An Giang,Bà Rịa - Vũng Tàu,Bình Dương,Bình Phước,Bình Thuận,Bình Định,Bạc Liêu,Bắc Giang,Bắc Kạn,Bắc Ninh,Bến Tre,Cao Bằng,Cà Mau,Cần Thơ,Gia Lai,Hà Giang,Hà Nam,Hà Nội,Hà Tĩnh,Hòa Bình,Hưng Yên,Hải Dương,Hải Phòng,Hậu Giang,Khánh Hòa,Kiên Giang,Kon Tum,Lai Châu,Long An,Lào Cai,Lâm Đồng,Lạng Sơn,Nam Định,Nghệ An,Ninh Bình,Ninh Thuận,Phú Thọ,Phú Yên,Quảng Bình,Quảng Nam,Quảng Ngãi,Quảng Ninh,Quảng Trị,Sóc Trăng,Sơn La,TP. Hồ Chí Minh,Thanh Hóa,Thái Bình,Thái Nguyên,Thừa Thiên Huế,Tiền Giang,Trà Vinh,Tuyên Quang,Tây Ninh,Vĩnh Long,Vĩnh Phúc,Yên Bái,Điện Biên,Đà Nẵng,Đắk Lắk,Đắk Nông,Đồng Nai,Đồng Tháp
2017,Population density(person/km2),611,556,769,141,155,252,335,430,67,1477,529,80,235,885,93,105,935,2209,212,183,1265,1077,1279,478,238,282,54,49,333,109,133,94,1111,190,694,181,394,180,110,141,245,201,136,397,87,4097,319,1129,356,235,698,443,132,279,688,874,117,59,828,146,96,516,500
2018,Area(km2),3536.7,1981,2694.6,6876.8,7943.9,6066.2,2669,3895.6,4860,822.7,2394.8,6700.3,5221.2,1439,15511,7929.5,861.9,3358.6,5990.7,4590.6,930.2,1668.2,1561.8,1621.7,5137.8,6348.8,9674.2,9068.8,4494.9,6364,9783.3,8310.1,1668.5,16481.6,1386.8,3355.3,3534.6,5023.4,8000,10574.7,5155.8,6178.2,4621.7,3311.9,14123.5,2061.4,11114.6,1586.4,3526.6,4902.4,2510.6,2358.3,5867.9,4041.3,1525.7,1235.2,6887.7,9541.2,1284.9,13030.5,6509.3,5863.6,3383.8
2018,Average population(thousand),2164.2,1112.9,2163.6,979.6,1239.2,1534.8,897,1691.8,327.9,1247.5,1268.2,540.4,1229.6,1282.3,1458.5,846.5,808.2,7520.7,1277.5,846.1,1188.9,1807.5,2013.8,776.7,1232.4,1810.5,535,456.3,1503.1,705.6,1312.9,790.5,1854.4,3157.1,973.3,611.8,1404.2,909.5,887.6,1501.1,1272.8,1266.5,630.6,1315.9,1242.7,8598.7,3558.2,1793.2,1268.3,1163.6,1762.3,1049.8,780.1,1133.4,1051.8,1092.4,815.6,576.7,1080.7,1919.2,645.4,3086.1,1693.3
2018,Population density(person/km2),612,562,803,142,156,253,336,434,67,1516,530,81,236,891,94,107,938,2239,213,184,1278,1083,1289,479,240,285,55,50,334,111,134,95,1111,192,702,182,397,181,111,142,247,205,136,397,88,4171,320,1130,360,237,702,445,133,280,689,884,118,60,841,147,99,526,500
2019,Area(km2),3536.7,1981,2694.6,6876.8,7943.9,6066.2,2669,3895.6,4860,822.7,2394.8,6700.3,5221.2,1439,15511,7929.5,861.9,3358.6,5990.7,4590.6,930.2,1668.2,1561.8,1621.7,5137.8,6348.8,9674.2,9068.8,4494.9,6364,9783.3,8310.1,1668.6,16481.4,1386.8,3355.3,3534.6,5023.4,8000,10574.7,5155.8,6178.2,4621.7,3311.9,14123.5,2061.4,11114.6,1586.4,3526.6,4902.4,2510.6,2358.3,5867.9,4041.3,1525.7,1235.9,6887.5,9541.3,1284.9,13030.5,6509.3,5863.6,3383.8
2019,Average population(thousand),1907.4,1152.2,2456.3,997.8,1232.3,1487.8,908.2,1810.4,314.4,1378.6,1289.1,530.9,1194.3,1236,1520.2,858.1,854.5,8093.9,1290.3,855.8,1255.8,1896.9,2033.3,732.2,1232.8,1723.7,543.4,462.6,1695.1,733.3,1299.3,782.8,1780.9,3337.2,984.5,591,1466.4,873.2,896.6,1497.5,1231.9,1324.8,633.4,1199.5,1252.7,9038.6,3645.8,1862.2,1290.9,1129.5,1766.3,1009.3,786.3,1171.7,1022.6,1154.8,823,601.7,1141.1,1872.6,625.8,3113.7,1598.8
2019,Population density(person/km2),539,582,912,145,155,245,340,465,65,1676,538,79,229,859,98,108,991,2410,215,186,1350,1137,1302,451,240,272,56,51,377,115,133,94,1067,202,710,176,415,174,112,142,239,214,137,362,89,4385,328,1174,366,230,704,428,134,290,670,934,119,63,888,144,96,531,472
2020,Area(km2),3536.68,1980.98,2694.64,6876.76,7943.93,6066.21,2669.01,3895.59,4859.96,822.71,2394.81,6700.26,5221.19,1438.96,15510.99,7929.48,861.93,3358.6,5990.67,4590.57,930.22,1668.24,1561.76,1621.7,5137.79,6348.78,9674.18,9068.79,4494.94,6364.03,9783.34,8310.09,1668.57,16481.41,1386.79,3355.34,3534.56,5023.42,8000.03,10574.74,5155.78,6178.21,4621.72,3311.88,14123.49,2061.41,11114.65,1586.35,3526.64,4902.44,2510.61,2358.26,5867.9,4041.25,1525.73,1235.87,6887.46,9541.25,1284.88,13030.5,6509.27,5863.6,3383.85
2020,Average population(thousand),1904.53,1167.94,2580.55,1011.08,1239.26,1487.9,913.48,1841.62,316.46,1419.13,1292.4,533.09,1193.89,1240.73,1541.83,870.24,861.83,8246.54,1296.62,861.22,1269.09,1916.77,2053.49,729.78,1240.44,1728.87,555.64,469.81,1713.66,746.36,1309.79,788.71,1780.33,3365.2,993.92,593.64,1481.88,874.3,901.98,1505.04,1233.4,1337.61,637.39,1195.74,1270.56,9227.6,3664.94,1870.24,1307.87,1133.59,1772.54,1009.94,792.9,1178.33,1022.97,1171.2,831.59,613.48,1169.48,1886.94,637.91,3177.4,1600.01
2020,Population density(person/km2),539,590,958,147,156,245,342,473,65,1725,540,80,229,862,99,110,1000,2455,216,188,1364,1149,1315,450,241,272,57,52,381,117,134,95,1067,204,717,177,419,174,113,142,239,217,138,361,90,4476,330,1179,371,231,706,428,135,292,670,948,121,64,910,145,98,542,473
2021,Area(km2),3536.83,1982.56,2694.64,6873.56,7942.6,6066.4,2667.88,3895.89,4859.96,822.71,2379.7,6700.39,5274.51,1440.4,15510.13,7927.55,861.93,3359.82,5994.45,4590.3,930.2,1668.28,1526.52,1622.23,5199.62,6352.02,9677.3,9068.73,4494.79,6364.25,9781.2,8310.18,1668.83,16486.5,1411.78,3355.34,3534.56,5025.96,7998.76,10574.86,5155.25,6207.79,4701.23,3298.2,14109.83,2095.39,11114.71,1584.61,3521.96,4947.11,2556.36,2390.76,5867.95,4041.65,1525.73,1236,6892.67,9539.92,1284.73,13070.41,6509.27,5863.62,3382.28
2021,Average population(thousand),1909.51,1176.08,2596.79,1024.29,1246.31,1508.32,918.51,1875.24,323.71,1462.95,1295.7,542.22,1208.75,1246.99,1569.72,887.09,875.22,8330.83,1314.06,871.72,1284.55,1936.78,2072.39,729.89,1248.06,1752.32,568.78,478.43,1725.75,761.89,1321.84,796.94,1836.27,3409.81,1007.57,596.05,1507.54,875.54,910.66,1518.48,1244.13,1350.85,647.79,1206.82,1287.72,9166.84,3716.43,1875.66,1323.15,1153.8,1779.42,1018.63,801.67,1181.91,1029.02,1191.78,842.67,625.09,1195.49,1909,664.42,3169.1,1601.31
2021,Population density(person/km2),540,593,964,149,157,249,344,481,67,1778,544,81,229,866,101,112,1015,2480,219,190,1381,1161,1358,450,240,276,59,53,384,120,135,96,1100,207,714,178,427,174,114,144,241,218,138,366,91,4375,334,1184,376,233,696,426,137,292,674,964,122,66,931,146,102,540,473
