COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Saint Kitts and Nevis,KNA,AMRO,REPORTING,2021-12-23,54253,27523.0,101.995,51.743,25400.0,47.752,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-22,3.0
Suriname,SUR,AMRO,REPORTING,2021-12-23,505748,260842.0,86.212,44.464,226560.0,38.62,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-23,5.0
South Africa,ZAF,AFRO,REPORTING,2022-01-02,27977830,18944167.0,47.173,31.942,15872469.0,26.762,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2021-02-17,2.0
Senegal,SEN,AFRO,REPORTING,2021-12-21,1939324,1342352.0,11.582,8.017,944643.0,5.642,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",2021-02-23,3.0
Angola,AGO,AFRO,REPORTING,2021-12-21,11482915,7453030.0,34.938,22.677,4029885.0,12.261,SII - Covishield,2021-03-10,1.0
Papua New Guinea,PNG,WPRO,REPORTING,2021-12-09,374571,282163.0,4.187,3.154,215437.0,2.408,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",2021-03-30,4.0
Cameroon,CMR,AFRO,REPORTING,2021-12-28,1020007,834112.0,3.842,3.142,659641.0,2.485,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-04-12,4.0
Zambia,ZMB,AFRO,REPORTING,2021-11-18,985443,806611.0,5.36,4.388,626900.0,3.41,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",2021-04-14,3.0
Tunisia,TUN,EMRO,REPORTING,2021-12-19,12624239,7750435.0,106.817,65.578,5495388.0,46.498,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-03-13,7.0
Sint Maarten,SXM,AMRO,REPORTING,2021-12-23,52304,27141.0,121.972,63.292,25163.0,58.68,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-02-22,3.0
Ghana,GHA,AFRO,REPORTING,2021-12-23,7755231,5774413.0,24.958,18.583,2334010.0,7.511,"Gamaleya - Gam-Covid-Vac,SII - Covishield",2021-03-02,2.0
Rwanda,RWA,AFRO,REPORTING,2021-12-28,12588963,7629877.0,97.195,58.908,5435180.0,41.963,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-05,7.0
Australia,AUS,WPRO,REPORTING,2021-12-18,41202316,20320601.0,161.578,79.689,19538547.0,76.622,"AstraZeneca - Vaxzevria,Novavax - Covavax,Pfizer BioNTech - Comirnaty",2021-02-21,3.0
Zimbabwe,ZWE,AFRO,REPORTING,2021-12-31,7248458,4118635.0,48.769,27.711,3129823.0,21.058,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Sinovac - CoronaVac",2021-02-18,4.0
Sierra Leone,SLE,AFRO,REPORTING,2021-12-29,923880,747044.0,11.582,9.365,385232.0,4.829,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-03-15,2.0
United States of America,USA,AMRO,REPORTING,2021-12-23,485274895,241208244.0,146.608,72.872,199796085.0,60.361,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-14,3.0
Turks and Caicos Islands,TCA,AMRO,REPORTING,2021-12-23,56343,29210.0,145.521,75.443,27133.0,70.079,Pfizer BioNTech - Comirnaty,2021-01-11,1.0
Yemen,YEM,EMRO,REPORTING,2021-12-02,786027,556652.0,2.635,1.866,366587.0,1.229,"Janssen - Ad26.COV 2-S,SII - Covishield,Sinovac - CoronaVac",2021-04-20,3.0
