COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Lao People's Democratic Republic,LAO,WPRO,REPORTING,2022-04-06,10527679.0,5670200.0,144.699,77.935,4614786.0,63.429,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2020-11-25,8.0,1289144.0,17.719
Latvia,LVA,EURO,REPORTING,2022-04-24,2820615.0,1300253.0,147.9,68.159,1267891.0,66.463,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2020-12-30,5.0,524483.0,27.493
Lebanon,LBN,EMRO,REPORTING,2022-05-09,5613936.0,2679956.0,82.25,39.264,2356112.0,34.52,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-14,10.0,577868.0,8.466
Lesotho,LSO,AFRO,REPORTING,2022-05-08,933825.0,933825.0,43.591,43.591,735610.0,34.338,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",2021-03-10,3.0,,
Liberia,LBR,AFRO,REPORTING,2022-05-08,1837296.0,1751520.0,36.327,34.631,1438154.0,28.435,SII - Covishield,2021-04-01,1.0,1912.0,0.038
Libya,LBY,EMRO,REPORTING,2022-05-05,3454320.0,2215144.0,50.272,32.238,1141412.0,16.611,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-04-11,10.0,97764.0,1.423
Liechtenstein,LIE,OTHER,REPORTING,2022-04-10,71104.0,26681.0,183.5,68.86,26346.0,67.995,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-01-06,3.0,18310.0,47.255
Lithuania,LTU,EURO,REPORTING,2022-05-01,4466348.0,1949989.0,159.8,69.944,1899322.0,67.976,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine",2020-12-23,5.0,886648.0,31.733
Luxembourg,LUX,EURO,REPORTING,2022-05-01,1255649.0,468958.0,200.5,74.9,461798.0,73.757,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2020-12-30,5.0,359283.0,57.384
Madagascar,MDG,AFRO,REPORTING,2022-05-08,2369775.0,1290584.0,8.558,4.661,1156975.0,4.178,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",2021-05-10,3.0,27380.0,0.099
Malawi,MWI,AFRO,REPORTING,2022-05-08,2054585.0,1596607.0,10.74,8.346,908688.0,4.75,"Janssen - Ad26.COV 2-S,SII - Covishield",2021-03-11,2.0,740.0,0.004
Malaysia,MYS,WPRO,REPORTING,2022-05-06,70366312.0,27780052.0,217.408,85.831,26759334.0,82.677,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-24,8.0,16040304.0,49.559
