date,iso_code,continent,location,S0,V0,I0,D0,beta,beta_v,gamma,theta,alpha,alpha0,pi,death_avg,recovery_case,new_full_vaccinated,new_boost_req,daily_case_non_vaccinated,daily_case_vaccinated,current_pol_N,daily_R0,avg_R0
2022-09-28,OWID_WRL,,World,6984163134,916246446,8995175,6774597,0.0652162392689843,0.021738747438977073,0.00020922327803516886,0.062461819808953135,0.0005401258428691368,0.007692838570212962,372346,1753.0,570655.0,3799714.0,6119276.0,489747.05078125,21491.94921875,7916179353,0.994874882047548,0.7814856155908817
2022-09-29,OWID_WRL,,World,6987097840,913530951,8971635,6776479,0.06396679552498973,0.021322265669701104,0.0002040876607218194,0.061779151737671005,0.0005297051915200468,0.007789276314807127,372355,1882.0,561855.0,3772327.0,6008205.0,517564.068359375,22632.931640625,7916376906,0.9879684952375924,0.7835362507373839
2022-09-30,OWID_WRL,,World,6990180889,910671125,8944139,6778310,0.059760264980013925,0.019920085623507475,0.00018526098487512324,0.06112829865457144,0.0005475544997689866,0.007819578107950642,372365,1831.0,554260.0,3701102.0,6107221.0,506519.947265625,22075.052734375,7916574464,0.9319786562045399,0.785871873498827
2022-10-01,OWID_WRL,,World,6993177978,907925886,8888194,6779967,0.05351708073947771,0.017839027103762502,0.0001619001565447379,0.0606728430995093,0.0005520370012012162,0.00802334100900416,372374,1657.0,546740.0,3827505.0,6144716.0,471956.712890625,20495.287109375,7916772026,0.8418688092014246,0.7853374551683379
2022-10-02,OWID_WRL,,World,6996358979,905043364,8785844,6781406,0.050635709176313944,0.016878568119800267,0.00015616029603985685,0.060648925703666035,0.0005433593403259371,0.008359630378036392,372383,1439.0,539272.0,3860493.0,6336093.0,420177.103515625,18183.896484375,7916969594,0.7988038000205727,0.7856879500181192
2022-10-03,OWID_WRL,,World,6999909513,901813156,8661718,6782778,0.05733852615030604,0.019112844097431383,0.00017109769678486415,0.06088734359627039,0.0005427927307863638,0.008577356565296488,372392,1372.0,532852.0,3801537.0,6643245.0,393145.666015625,16952.333984375,7917167166,0.9016545350373272,0.7928796257948914
2022-10-04,OWID_WRL,,World,7003586701,898402967,8590814,6784260,0.06395178947353909,0.0213172627050735,0.00019776938483361415,0.06070344440003008,0.000543277061076999,0.008706783347722003,372402,1482.0,527389.0,3799500.0,6837595.0,439109.84765625,18857.15234375,7917364743,1.0086993604550993,0.8030670758964086
2022-10-05,OWID_WRL,,World,7007296749,894905224,8574393,6785959,0.06798711001994388,0.022662373270756764,0.00020876113329538313,0.060192365803620154,0.0005385093759960847,0.008753919170040205,372411,1699.0,521492.0,3804888.0,6947996.0,485989.486328125,20780.513671875,7917562326,1.0817418507468428,0.8144832110288892
2022-10-06,OWID_WRL,,World,7011018061,891359721,8594381,6787749,0.06735833724603157,0.022452781055881013,0.00021141720386843452,0.0596213968172926,0.0005443596018040039,0.008637467916868733,372420,1790.0,516113.0,3773495.0,6980210.0,515927.865234375,21963.134765625,7917759913,1.0809152163526552,0.8239654849933733
2022-10-07,OWID_WRL,,World,7014563658,887989794,8614486,6789566,0.06163378609493952,0.020544594513187422,0.00018480499010620018,0.05908443057426758,0.0005329397781314769,0.0089490003733561,372430,1817.0,512409.0,3816515.0,6866539.0,512607.21875,21723.78125,7917957505,1.0006468834702045,0.8314053954308135
2022-10-08,OWID_WRL,,World,7018477447,884292370,8594126,6791158,0.05417072691893247,0.018056909633557047,0.00015999299986991115,0.05873372114860778,0.0005369922505754102,0.008892495581681405,372439,1592.0,508982.0,3738340.0,7136783.0,470365.771484375,19848.228515625,7918155102,0.8847165402568182,0.8352026016906269
2022-10-09,OWID_WRL,,World,7022337245,880704955,8517970,6792533,0.054294191824658784,0.018098065458368784,0.000158840662740066,0.05875719214789439,0.0005568006581247597,0.008976840601098992,372448,1375.0,504765.0,3768868.0,7074408.0,412653.263671875,17330.736328125,7918352704,0.8855029664072553,0.8413232491030544
2022-10-10,OWID_WRL,,World,7026103284,877209725,8443415,6793886,0.06207059456866814,0.020690195837080875,0.00018108786551413142,0.0588852970036413,0.0005674565031026557,0.00881194402119685,372458,1353.0,500492.0,3910042.0,7136594.0,410143.958984375,17146.041015625,7918550311,1.0081925343328157,0.8535116804680081
2022-10-11,OWID_WRL,,World,7029561643,873961797,8429067,6795415,0.06822730228891848,0.02274243097346021,0.00020156441988182085,0.05871302244957834,0.0005847105706387171,0.008708459595256714,372467,1529.0,497193.0,3987008.0,6978543.0,465021.34765625,19352.65234375,7918747923,1.1090951695751483,0.8676129407024554
2022-10-12,OWID_WRL,,World,7032729993,870954287,8464145,6797114,0.07418635085679817,0.024728782304485854,0.00021337063578187756,0.05830842926249491,0.0006067210036063472,0.008347792883970973,372476,1699.0,494896.0,4110259.0,6875705.0,510516.0859375,21156.9140625,7918945540,1.2098751434480322,0.8830136467769444
2022-10-13,OWID_WRL,,World,7035352446,868442313,8549481,6798920,0.07121276533850741,0.023737587354740283,0.00021311235149829564,0.05759296967851031,0.0006450286655203885,0.007920231306892983,372485,1806.0,493531.0,4266905.0,6551433.0,557652.548828125,23020.451171875,7919143161,1.1696094714918404,0.8965244677447415
2022-10-14,OWID_WRL,,World,7037326427,866595208,8618410,6800742,0.06411618353878208,0.02137206137078588,0.00018936207490708842,0.05705263499879908,0.0006493301180523734,0.007187194135802477,372495,1822.0,492390.0,4538004.0,6175000.0,540885.41015625,22255.58984375,7919340788,1.0579215519319227,0.9055213664218346
2022-10-15,OWID_WRL,,World,7038669607,865430171,8636267,6802374,0.05643769432812878,0.018812563484247147,0.00016743345243957835,0.056777656364723324,0.0006585299862405532,0.006710420081828961,372504,1632.0,491703.0,4569548.0,5540373.0,491036.1640625,20155.8359375,7919538420,0.9319258062445869,0.910969223252547
