date,S0,V0,I0,D0,beta,beta_v,gamma,theta,alpha,alpha0,pi,death_avg,recovery_case,new_full_vaccinated,new_boost_req,daily_case_non_vaccinated,daily_case_vaccinated,current_pol_N,daily_R0,avg_R0
2022-08-13,58407762,40128987,30906,43967,0.08729685292251765,0.02909894865787943,1.7197729008367533e-05,0.043454345434543455,0.005092045782198326,0.009868277854530937,4117,0.0,1292.0,297415.0,265685.0,2197.6346740722656,504.3653259277344,98611623,1.5512159182002467,1.5700860344491387
2022-08-14,58506553,40031880,31527,43967,0.08310585980780552,0.027701957871101874,1.7197729008367533e-05,0.04421606876645415,0.005083447576357509,0.010598103304768987,4117,0.0,1343.0,297415.0,305013.0,1598.0260314941406,365.9739685058594,98613928,1.47168119489321,1.5971194040974
2022-08-15,58633786,39906438,32042,43967,0.09010342242480852,0.030034473455375077,1.7197729008367533e-05,0.04522189626115723,0.00507241673391375,0.011974659187789135,4117,0.0,1394.0,297415.0,325273.0,1554.4635925292969,354.5364074707031,98616234,1.5951488584013531,1.6271239920512268
2022-08-16,58814471,39727401,32699,43967,0.09484363636145532,0.031614543427028755,1.7197729008367533e-05,0.04602587235083642,0.005056833679654096,0.012577968362052898,4117,0.0,1449.0,297415.0,370283.0,1716.5657043457031,389.4342956542969,98618539,1.6644461194724784,1.656163273676987
2022-08-17,59016813,39526604,33460,43967,0.101782682299184,0.03392756100606054,1.7197729008367533e-05,0.04754931261207412,0.0050394960802101416,0.010719185336611349,4117,0.0,1505.0,297415.0,383437.0,1849.5594787597656,416.4405212402344,98620845,1.6820475889923727,1.6813346247350913
2022-08-18,59142941,39401879,34362,43967,0.10265058916903659,0.03421686745312317,1.7197729008367533e-05,0.04865840172283336,0.004962773073793819,0.011137184596187141,4118,0.0,1591.0,297415.0,298481.0,2038.0126037597656,454.9873962402344,98623150,1.6739614476620708,1.705978903717295
2022-08-19,59287990,39258223,35275,43967,0.10368633972837603,0.034562114406737086,1.7197729008367533e-05,0.04944011339475549,0.004884817252017769,0.011254177171090689,4118,0.0,1672.0,293513.0,304841.0,2115.2608642578125,469.7391357421875,98625456,1.6719194904478518,1.7287563278550793
2022-08-20,59439836,39107743,36215,43967,0.0922506553352784,0.030750219219508306,1.7197729008367533e-05,0.04920613005660638,0.004806692241971172,0.011105115225127608,4118,0.0,1744.0,289611.0,298940.0,2198.7015075683594,485.2984924316406,98627762,1.4956056099690185,1.739377148470128
2022-08-21,59588230,38960982,36888,43967,0.09048241872060886,0.030160804389047235,1.7197729008367533e-05,0.04925721101713294,0.00472922248740808,0.010923235849422097,4118,0.0,1782.0,285709.0,282894.0,2013.4292602539062,441.57073974609375,98630068,1.4654025783423097,1.7479411026286615
2022-08-22,59731851,38819027,37527,43967,0.09595079789350407,0.031983601937002365,1.7197729008367533e-05,0.04943107629173662,0.004652542874021185,0.010679118632965955,4118,0.0,1817.0,281806.0,266330.0,2016.5104064941406,439.4895935058594,98632373,1.5466662930756891,1.7611423515004785
